id,label,faithfulness,answer_relevancy,context_relevancy,filter_label,filter_confidence
0_pos,1,1.0,0.9162247239915758,0.25,1,0.9892633233656037
0_neg,0,0.5,0.0,0.25,0,0.051314457002269456
1_pos,1,1.0,0.8726954190905896,0.6666666666666666,1,0.9850209265870249
1_neg,0,0.6666666666666666,0.8726954190905896,0.6666666666666666,1,0.6051258488171152
2_pos,1,1.0,0.9889833528494109,0.5,1,0.979744905088238
2_neg,0,0.3333333333333333,0.9241494015108288,0.5,0,0.4454629965302119
3_pos,1,1.0,0.9078363384943966,0.4,1,0.9740814872722338
3_neg,0,1.0,0.9078353456861992,0.4,1,0.9740814872722338
4_pos,1,1.0,0.9265747715815009,0.19230769230769232,1,0.9859088775293242
4_neg,0,0.9166666666666666,0.915844787000506,0.17307692307692307,0,0.1745325906953618
5_pos,1,1.0,0.7990863570100207,0.6666666666666666,1,0.9866109581861375
5_neg,0,0.25,0.8845083389199525,0.6666666666666666,1,0.5372060627467717
6_pos,1,1.0,0.7627212970708643,0.3076923076923077,1,0.9892609103354119
6_neg,0,0.4,0.0,0.3076923076923077,0,0.06488267988484998
7_pos,1,1.0,0.9261463375159055,0.375,1,0.9740814872722338
7_neg,0,1.0,0.9261463375159055,0.375,1,0.9740814872722338
8_pos,1,1.0,0.8899767488425484,0.25,1,0.9892633233656037
8_neg,0,0.0,0.8899767488425484,0.25,0,0.03053282913356938
9_pos,1,1.0,1.0,1.0,1,0.9734016214767031
9_neg,0,0.2,1.0,1.0,0,0.1739013595083715
10_pos,1,0.7333333333333333,0.929941601574861,0.4,0,0.35140559424751533
10_neg,0,0.7142857142857143,0.929941601574861,0.4,0,0.35140559424751533
11_pos,1,0.75,0.8609686777848783,0.14285714285714285,0,0.0732577535872069
11_neg,0,0.0,0.0,0.14285714285714285,0,0.014770690710451527
12_pos,1,1.0,0.918883572350938,0.09090909090909091,1,0.9906495868846759
12_neg,0,0.5,0.0,0.09090909090909091,0,0.020222878526066256
13_pos,1,0.15625,0.913762871780848,0.18518518518518517,0,0.07664392225597273
13_neg,0,0.3333333333333333,0.913762871780848,0.18518518518518517,0,0.09413070002417981
14_pos,1,1.0,0.9287510453203974,0.5,1,0.98187017278613
14_neg,0,0.25,0.9287510453203974,0.5,0,0.47010638485058814
15_pos,1,1.0,0.778918271537815,0.15384615384615385,1,0.9887088979079215
15_neg,0,0.75,0.0,0.15384615384615385,0,0.03299836814114969
16_pos,1,1.0,1.0,0.1111111111111111,1,0.9805240879020762
16_neg,0,0.25,0.0,0.1388888888888889,0,0.035472367050453375
17_pos,1,1.0,0.7200255454241514,0.06382978723404255,1,0.9911161188486913
17_neg,0,0.6666666666666666,0.9718429467613704,0.06382978723404255,0,0.043311267252894414
18_pos,1,1.0,0.8228786978733948,0.1282051282051282,1,0.9908221383607476
18_neg,0,0.75,0.8321432911968739,0.1282051282051282,0,0.0732577535872069
19_pos,1,1.0,0.8716553177760566,0.04,1,0.9906495868846759
19_neg,0,0.2,0.0,0.04,0,0.009060032004279354
20_pos,1,1.0,0.869814731759137,0.04,1,0.9906495868846759
20_neg,0,0.5,0.8971830097144999,0.06,0,0.04480954458696556
21_pos,1,1.0,0.9233300871194016,0.03571428571428571,1,0.9906495868846759
21_neg,0,0.0,0.8849951306791023,0.03571428571428571,0,0.012473247867731733
22_pos,1,1.0,0.8700652821944331,0.3333333333333333,1,0.9774051452037927
22_neg,0,0.2,0.8807989098561885,0.3333333333333333,0,0.33797936617644464
23_pos,1,1.0,0.9386145872866032,0.23529411764705882,1,0.9888788074793776
23_neg,0,0.4,0.944296207712075,0.23529411764705882,0,0.14257974418383054
24_pos,1,1.0,0.8958942451013879,0.2,1,0.9859088775293242
24_neg,0,0.75,0.0,0.2,0,0.039453453371630726
25_pos,1,1.0,0.8900396697886152,0.25,1,0.9892633233656037
25_neg,0,0.75,0.8900396697886152,0.25,0,0.11134711977421595
26_pos,1,1.0,0.8565458506637414,0.09523809523809523,1,0.9906495868846759
26_neg,0,0.0,0.0,0.09523809523809523,0,0.010486496868505514
27_pos,1,1.0,0.9245790449087362,0.25,1,0.9892633233656037
27_neg,0,0.3333333333333333,0.0,0.25,0,0.05074383279561611
28_pos,1,0.9047619047619048,0.8580350564225667,0.12195121951219512,0,0.214127762583492
28_neg,0,0.3333333333333333,0.0,0.12195121951219512,0,0.03767032156508554
29_pos,1,1.0,0.8670733948809956,0.18518518518518517,1,0.9857566424421286
29_neg,0,0.6,0.0,0.18518518518518517,0,0.039453453371630726
30_pos,1,1.0,0.9422652470947472,0.42857142857142855,1,0.9716840832340151
30_neg,0,0.0,0.0,0.42857142857142855,0,0.0794229241560856
31_pos,1,1.0,0.874244012999871,0.0425531914893617,1,0.9906495868846759
31_neg,0,0.5,0.0,0.0425531914893617,0,0.015524366595594108
32_pos,1,1.0,0.8478271686475463,0.22727272727272727,1,0.9901570162816902
32_neg,0,0.6666666666666666,0.8907311035169005,0.22727272727272727,0,0.11134711977421595
33_pos,1,1.0,0.9483637026723114,0.14285714285714285,1,0.9890668336493613
33_neg,0,0.3333333333333333,0.0,0.14285714285714285,0,0.03373049263621684
34_pos,1,1.0,0.7948696925402555,0.07692307692307693,1,0.9909857353332826
34_neg,0,1.0,0.0,0.07692307692307693,1,0.995233202213423
35_pos,1,1.0,0.6062267070984756,0.015873015873015872,1,0.9899130715696907
35_neg,0,0.3333333333333333,0.0,0.015873015873015872,0,0.015402764921192594
36_pos,1,1.0,0.9414859503780496,0.23529411764705882,1,0.9888788074793776
36_neg,0,0.42857142857142855,1.0,0.23529411764705882,0,0.13974125015217284
37_pos,1,1.0,0.6799512424365441,0.046511627906976744,1,0.9899130715696907
37_neg,0,0.0,0.0,0.046511627906976744,0,0.008031558029854037
38_pos,1,1.0,0.9207279493242893,0.2826086956521739,1,0.9892633233656037
38_neg,0,0.7272727272727273,0.0,0.2826086956521739,0,0.051314457002269456
39_pos,1,1.0,0.8907994020066838,0.07692307692307693,1,0.9906495868846759
39_neg,0,0.0,0.8147967633832588,0.057692307692307696,0,0.011477136727573105
40_pos,1,1.0,0.8527620547418461,0.2777777777777778,1,0.9892633233656037
40_neg,0,0.16666666666666666,0.0,0.2777777777777778,0,0.03534100188958021
41_pos,1,0.9411764705882353,0.9074062335312948,0.14285714285714285,0,0.28727575605310507
41_neg,0,0.25,0.8193397066289941,0.1836734693877551,0,0.09147371137104146
42_pos,1,1.0,0.7443042596374991,0.06,1,0.9911161188486913
42_neg,0,0.8666666666666667,0.0,0.06,0,0.025580400266044197
43_pos,1,1.0,0.8627907630324462,0.11764705882352941,1,0.9909655827488759
43_neg,0,0.16666666666666666,0.7885773697963757,0.11764705882352941,0,0.06673993508961348
44_pos,1,1.0,0.9295391490515333,0.12,1,0.9909655827488759
44_neg,0,0.5,0.0,0.1,0,0.020222878526066256
45_pos,1,1.0,0.9571722121503478,0.1875,1,0.9852484134156748
45_neg,0,0.42857142857142855,0.0,0.09375,0,0.03454226039993604
46_pos,1,1.0,0.840218160750708,0.16666666666666666,1,0.9908693095796229
46_neg,0,0.7272727272727273,0.9179327831738934,0.16666666666666666,0,0.28173137907069623
47_pos,1,1.0,0.851825113597394,0.125,1,0.9910629203601977
47_neg,0,0.5833333333333334,0.8254983462280161,0.10714285714285714,0,0.07441139900482702
48_pos,1,1.0,0.9589752966600317,0.19230769230769232,1,0.9854060001085353
48_neg,0,0.0,1.0,0.1346153846153846,0,0.009570146023864084
49_pos,1,1.0,0.815781414224444,0.07575757575757576,1,0.9909857353332826
49_neg,0,0.3333333333333333,0.0,0.07575757575757576,0,0.015402764921192594
